State,Count
PA,1421
CA,1413
OH,1406
NY,1386
FL,1361
IL,1350
TX,1344
MI,1333
NC,1310
GA,1299
NJ,1297
MD,1281
TN,1261
MO,1249
IN,1238
AZ,1233
MN,1226
WA,1219
CO,1215
WI,1206
KY,1206
VA,1203
IA,1163
OR,1157
UT,1155
KS,1146
NV,1119
ID,1111
CT,1105
OK,1105
LA,1103
AR,1091
MA,1086
NE,1078
SC,1054
AL,1044
MS,1014
NM,1013
ME,998
RI,995
SD,989
MT,985
DE,979
WV,974
NH,971
WY,970
HI,943
ND,938
VT,917
AK,917
